,Message,Retweet Count,Created At,Username,Geo,Coord,Metadata
18,"“No me importa morir mañana. He vivido, en toda la extensión de la palabra”. #FreddieMercury 

#Hoy cumpliría 73 años el gran exponente del #Rock #FreddieMercury 🤘 Aquí les dejo una buena rola https://t.co/kzFa9BS3Jz https://t.co/U4TpSO0Pnl",0,2019-09-05 18:05:08,Silvia Garza,,,"{'iso_language_code': 'es', 'result_type': 'recent'}"
19,"Ya estamos listos para grabar a tu banda! Agenda tu sesión hoy! Somos un estudio de grabación especializados en Rock y Pop. #estudiodegrabación #Culiacán #musica #rock #pop #producción en Culiacán, Sinaloa, México. https://t.co/IGSEacDsUs",0,2019-09-05 18:04:40,PelotaDePlayaRecords,"{'type': 'Point', 'coordinates': [24.77925366, -107.394104]}","{'type': 'Point', 'coordinates': [-107.394104, 24.77925366]}","{'iso_language_code': 'es', 'result_type': 'recent'}"
20,"A este ciego corazón lo acompaña la locura!!! ... ""La Pared"" ... escuchala en el EP Valiente. Link en la bio. #new #music #promo #pop #rock #singer en Heredia, Costa Rica https://t.co/4UfQeNbh2b",0,2019-09-05 18:02:04,YSSAEL,"{'type': 'Point', 'coordinates': [10.0, -84.1167]}","{'type': 'Point', 'coordinates': [-84.1167, 10.0]}","{'iso_language_code': 'es', 'result_type': 'recent'}"
21,#PrinceNuada - Stand My Ground https://t.co/rhkcSENWOr vía @YouTube Gabriel Trejos Duque #rock https://t.co/rhkcSENWOr,0,2019-09-05 18:00:57,Gabriel Trejos Duque,,,"{'iso_language_code': 'es', 'result_type': 'recent'}"
22,"Descárgate gratis nuestras maquetas en https://t.co/O0m2YDjuyz Esperemos que te gusten #viñarock #rock #punkrock September 05, 2019 at 08:00PM",0,2019-09-05 18:00:49,OVAM Rock Valencia,,,"{'iso_language_code': 'es', 'result_type': 'recent'}"
23,@eltridemexico y @estramboticos GRATIS en la glorieta de Insurgentes #CDMX como parte del #50AniversarioMetro  @MetroCDMX  acá nos vemos #ConectaCDMX #ELCOLECTIVOTOURSMUSIC https://t.co/ee4vm39jaq #rock #ska #eltri #losestramboticos #Lavoe🔱 #MotoLavoe@🛵💨💨 https://t.co/XXnF16uCze,0,2019-09-05 17:59:33,Oskar Lavoe 🔱,,,"{'iso_language_code': 'es', 'result_type': 'recent'}"
24,@eltridemexico y @estramboticos GRATIS en la glorieta de Insurgentes #CDMX como parte del #50AniversarioMetro  @MetroCDMX  acá nos vemos #ConectaCDMX #ELCOLECTIVOTOURSMUSIC https://t.co/TeFshwwjK0 #rock #ska #eltri #losestramboticos https://t.co/iB5B99Ctw3,0,2019-09-05 17:58:45,CONECTA CDMX,,,"{'iso_language_code': 'es', 'result_type': 'recent'}"
25,"Disfruten nuestro video del tema promocional ""Reset"" https://t.co/enbToqvy6V #Rock #Stoner #Punk #Psicodelia #Doom #Sludge",0,2019-09-05 17:57:53,Doña Moña,,,"{'iso_language_code': 'es', 'result_type': 'recent'}"
26,#FreightTrain - Burning Heart (Survivor Cover) https://t.co/fwfNB8wEp5 vía @YouTube #rock,0,2019-09-05 17:51:53,Gabriel Trejos Duque,,,"{'iso_language_code': 'es', 'result_type': 'recent'}"
27,"La veteranía y la juventud. Fiestas de Cuenca 1/9/2019.

📸: @Irene_Kilmister (echad un vistazo a su gran trabajo fotográfico ;)

#CursedAngel #Heavy #HeavyMetal #Rock #hardrock #cuenca #Bass #BassGuitar #BassPlayer… https://t.co/7wDiH05ao0",0,2019-09-05 17:50:18,Guillermo🔻,,,"{'iso_language_code': 'es', 'result_type': 'recent'}"
